COMMAND,MAJOR,MINOR,GROUP
PERF_RES_NET_WIFI_INFO_PRIORITY_UDP,10,1,6
PERF_RES_NET_WIFI_INFO_PRIORITY_TCP,10,1,7
PERF_RES_NET_WIFI_INFO_MONITOR_PROTOCOL,10,1,8
PERF_RES_NET_NETD_BOOST_UID,10,2,0
PERF_RES_NET_NETD_BLOCK_UID,10,2,1
PERF_RES_NET_NETD_BOOST_UID_2,10,2,2
PERF_RES_NET_MD_LOW_LATENCY,10,3,0
PERF_RES_NET_MD_GAME_MODE,10,3,1
PERF_RES_NET_MD_CERT_PID,10,3,2
PERF_RES_NET_MD_CRASH_PID,10,3,3
PERF_RES_NET_MD_WEAK_SIG_OPT,10,3,4
PERF_RES_NET_MD_HSR_MODE,10,3,5
PERF_RES_NET_BT_AUDIO_LOW_LATENCY,10,4,0
PERF_RES_IO_BOOST_VALUE,11,0,0
PERF_RES_IO_UCLAMP_MIN,11,0,1
PERF_RES_IO_UTIL_MIN,11,0,2
PERF_RES_IO_F2FS_UFS_BOOST,11,1,0
PERF_RES_IO_F2FS_EMMC_BOOST,11,2,0
PERF_RES_IO_BLKDEV_READAHEAD,11,3,0
PERF_RES_IO_EXT4_DATA_BOOST,11,4,0
PERF_RES_IO_DATA_FS_BOOST,11,5,0
PERF_RES_IO_UFS_CLK_SCALE,11,6,0
PERF_RES_IO_PERF_MODE,11,7,0
PERF_RES_THERMAL_POLICY,12,0,0
PERF_RES_UX_PREDICT_LOW_LATENCY,12,1,0
PERF_RES_UX_PREDICT_GAME_MODE,12,1,1
PERF_RES_UX_SCROLL_SAVE_POWER,12,1,2
PERF_RES_UX_SBE_RESCUE_ENHANS,12,1,3
PERF_RES_CFP_ENABLE,12,2,0
PERF_RES_CFP_POLLING_MS,12,2,1
PERF_RES_CFP_UP_LOADING,12,2,2
PERF_RES_CFP_DOWN_LOADING,12,2,3
PERF_RES_CFP_UP_TIME,12,2,4
PERF_RES_CFP_DOWN_TIME,12,2,5
PERF_RES_CFP_UP_OPP,12,2,6
PERF_RES_CFP_DOWN_OPP,12,2,7
PERF_RES_PERF_TASK_TURBO,12,3,0
PERF_RES_TOUCH_CHANGE_RATE,12,4,0
PERF_RES_THERMAL_SPORTS_CG_POLICY,12,5,0
PERF_RES_MAGT_THERMAL_AWARE_THRESHOLD,12,6,0
PERF_RES_MAGT_FPSDROP_AWARE_THRESHOLD,12,6,1
PERF_RES_MAGT_ADVICE_BAT_AVG_CURRENT,12,6,2
PERF_RES_MAGT_ADVICE_BAT_MAX_CURRENT,12,6,3
PERF_RES_POWERHAL_SCREEN_OFF_STATE,13,0,0
PERF_RES_POWERHAL_SCN_CRASH,13,0,1
PERF_RES_POWERHAL_SPORTS_MODE,13,1,0
PERF_RES_POWERHAL_SPORTS_MODE_APP_SMART_MODE,13,1,1
PERF_RES_POWERHAL_GAME_MODE_ENABLE,13,1,2
PERF_RES_POWERHAL_TOUCH_BOOST_OPP,13,2,0
PERF_RES_POWERHAL_TOUCH_BOOST_DURATION,13,2,1
PERF_RES_POWERHAL_TOUCH_BOOST_ACTIVE_TIME,13,2,2
PERF_RES_POWERHAL_TOUCH_BOOST_EAS_BOOST,13,2,3
PERF_RES_POWERHAL_TOUCH_BOOST_TIME_TO_LAST_TOUCH,13,2,4
PERF_RES_POWERHAL_TOUCH_BOOST_ENABLE,13,2,5
PERF_RES_POWERHAL_TOUCH_BOOST_NOTIFY_FBC,13,2,6
PERF_RES_POWERHAL_TOUCH_BOOST_DEBOOST_WHEN_RENDER,13,2,7
PERF_RES_POWERHAL_TOUCH_BOOST_CLUSTER_0_OPP,13,2,8
PERF_RES_POWERHAL_TOUCH_BOOST_CLUSTER_1_OPP,13,2,9
PERF_RES_POWERHAL_TOUCH_BOOST_CLUSTER_2_OPP,13,2,10
PERF_RES_POWERHAL_TOUCH_BOOST_NOTIFY_TOUCH_EVENT,13,2,11
PERF_RES_POWERHAL_TOUCH_BOOST_EAS_BOOST_FG,13,2,12
PERF_RES_POWERHAL_TOUCH_BOOST_PREFER_IDLE_TA,13,2,13
PERF_RES_POWERHAL_TOUCH_BOOST_PREFER_IDLE_FG,13,2,14
PERF_RES_POWERHAL_WHITELIST_APP_LAUNCH_TIME_COLD,13,3,0
PERF_RES_POWERHAL_WHITELIST_APP_LAUNCH_TIME_WARM,13,3,1
PERF_RES_POWERHAL_WHITELIST_ACT_SWTICH_TIME,13,3,2
PERF_RES_POWER_HINT_HOLD_TIME,13,4,0
PERF_RES_POWER_HINT_EXT_HINT,13,4,1
PERF_RES_POWER_HINT_EXT_HINT_HOLD_TIME,13,4,2
PERF_RES_POWER_END_HINT_HOLD_TIME,13,4,3
PERF_RES_POWER_HINT_INSTALL_MAX_DURATION,13,4,4
PERF_RES_POWERHAL_HIDE_LOG,13,5,0
PERF_RES_APPLIST_FPS_TOLERANCE_PERCENT,13,6,0
PERF_RES_CUSTOM_RESOURCE_1,64,0,0
PERF_RES_KSWAPD_AFFINITY,64,0,7
